,motivatedforjob,motivatedforadvancement,motivatedforitcert,Race/ethnicity,Gender,Age ,degreeprogram,firstchoiceorchanged
182,Yes,No,No,White/Caucasian,Non-binary,19-20,Computer Science,First Choice
183,Yes,No,No,Asian,Woman,21-24,Computer Science,Engineering
184,Yes,Yes,Yes,Hispanic or Latino,Man,18 and younger,Computer Science,First Choice
185,Yes,No,No,Asian,Man,18 and younger,Information Technology,First Choice
186,Yes,Yes,Yes,Hispanic or Latino,Man,18 and younger,Information Technology,First Choice
187,Yes,Yes,Yes,White/Caucasian,Woman,25-34,Computer Science,LIberal Arts
188,Yes,No,No,Choose not to reply,Man,19-20,Computer Science,First Choice
189,Yes,Yes,No,Hispanic or Latino,Man,18 and younger,Information Technology,Engineering
190,Yes,Yes,Yes,Asian,Non-binary,19-20,Computer Science,First Choice
191,Yes,No,No,White/Caucasian,Man,19-20,Computer Science,First Choice
192,Yes,Yes,Yes,Hispanic or Latino;American Indian/Native American/Alaska Native;White/Caucasian;Multi-Racial,Man,35-64,Information Technology,Engineering
193,Yes,Yes,Yes,Hispanic or Latino,Woman,19-20,Information Technology,LIberal Arts
194,Yes,No,No,Hispanic or Latino,Man,18 and younger,Computer Science,First Choice
195,,,,White/Caucasian,Man,19-20,MET,
196,,,,Hispanic or Latino;White/Caucasian,Man,25-34,Business,
197,Yes,Yes,Yes,White/Caucasian,Man,18 and younger,Information Technology,Business
198,No,No,No,Asian,Woman,21-24,Computer Science,First Choice
199,Yes,No,Yes,White/Caucasian,Man,21-24,Information Technology,First Choice
200,Yes,Yes,No,White/Caucasian,Man,18 and younger,Information Technology,First Choice
201,,,,White/Caucasian,Man,21-24,Business Administration,
202,,,,Choose not to reply,Man,19-20,Finance,
203,Yes,Yes,Yes,Hispanic or Latino,Woman,35-64,Computer Science,Engineering
204,Yes,Yes,No,Hispanic or Latino;White/Caucasian,Woman,19-20,Data Analytics Certificate of Achievement,Science
205,,,,Hispanic or Latino,Woman,19-20,Business Administration ,
206,Yes,Yes,Yes,Hispanic or Latino,Woman,35-64,Information Technology,Nursing
207,,,,White/Caucasian,Man,65+,Non Degree seeking,
208,Yes,Yes,Yes,Hispanic or Latino,Man,35-64,Computer Science,First Choice
209,Yes,No,Yes,Hispanic or Latino,Man,35-64,Computer Science,First Choice
210,Yes,Yes,Yes,White/Caucasian,Man,18 and younger,Computer Science,First Choice
211,Yes,No,Yes,Black/African American,Man,18 and younger,Information Technology,Business
212,Yes,No,Yes,Hispanic or Latino;White/Caucasian,Man,21-24,Information Technology,First Choice
213,Yes,Yes,Yes,Hispanic or Latino;White/Caucasian,Man,21-24,Information Technology,First Choice
214,No,No,No,Asian,Man,19-20,Computer Science,First Choice
215,No,Yes,No,White/Caucasian,Man,25-34,"Technical Studies, Applied Associate of Science",LIberal Arts
216,Yes,No,No,Hispanic or Latino;White/Caucasian,Man,21-24,Computer Science,Engineering
217,,,,White/Caucasian,Man,25-34,MET,
